year,cid,eci,gini,xgini,gdppc
1965.0,pan,1.339216232,44.43055,42.965805060887135,2340.0
1965.0,per,-0.530911326,,48.921824844949256,2340.0
1965.0,phl,-0.29885745,46.63562,46.76348232086154,763.0
1965.0,png,-0.633930504,52.52409,47.28475538299677,700.0
1965.0,pol,1.351739049,,41.600590549738214,
1965.0,prk,0.343437761,,44.653990409472065,
1965.0,prt,1.045746922,42.08289,43.739159153842046,4980.0
1965.0,pry,-0.835835516,,45.653743922265555,638.0
1965.0,qat,,,48.38399143146715,
1965.0,rus,,,,
1965.0,sau,-0.33013472,,48.36975688171933,
1965.0,sdn,-1.414028406,,48.4911828508045,487.0
1965.0,sen,-0.4168995620000001,,47.779696752277935,837.0
1965.0,sgp,0.376544416,46.59106,44.72625532423994,2840.0
1965.0,slv,0.5042058229999999,46.67632,48.20860312648695,2000.0
1965.0,srb,,,,
1965.0,svk,,,,
1965.0,svn,,,,
1965.0,swe,2.080415487,28.53588,39.57491210489059,18600.0
1965.0,syr,-0.315146238,46.94578,47.904369076575186,675.0
1965.0,tgo,-1.204188228,,49.39909687664406,407.0
1965.0,tha,-0.767754018,,47.12269499822482,437.0
1965.0,tkm,,,,
1965.0,tto,,,46.758082852769476,
1965.0,tun,-0.08645726,48.01323,47.749205303208456,973.0
1965.0,tur,-0.6209956999999999,44.76382,47.64404263899529,2630.0
1965.0,tza,-1.124850512,49.58191,48.08871773797285,
1965.0,ukr,,,,
1965.0,ury,0.497867405,,42.53890398423585,3110.0
1965.0,usa,1.855222702,35.05777,41.186592447052654,18300.0
1965.0,uzb,,,,
1965.0,ven,0.133028582,46.40126,48.29431666016376,6670.0
1965.0,vnm,-0.159734726,,45.26688485067468,
1965.0,wld,0.816888988,,,3600.0
1965.0,yem,,,,
1965.0,zaf,-0.252276957,,45.18499770988863,4140.0
1965.0,zmb,-0.713150918,48.7523,47.6494187707105,1080.0
1965.0,zwe,,45.56743,45.65230489715579,
1966.0,ago,-1.134072065,,48.278458420658424,
1966.0,alb,-0.061643373,,45.683304654903615,
1966.0,are,,,,
1966.0,arg,-0.054419994000000006,,43.917130265138645,3350.0
1966.0,aus,0.708254576,30.90476,42.548109190616614,15100.0
1966.0,aut,1.997407198,34.560559999999995,40.47914926597879,13700.0
1966.0,aze,,,,
1966.0,bel,,32.47975,42.1935554554377,
1966.0,bgd,,,,
1966.0,bgr,0.943757594,28.23788,43.121336587070395,
1966.0,bhr,,,48.12594266464979,
1966.0,bih,,,,
1966.0,blr,,,,
1966.0,bol,-0.7794985179999999,,49.874525410655835,1030.0
1966.0,bra,-0.6142532829999999,,47.88511242884841,1880.0
1966.0,bwa,,,,
1966.0,can,0.998712122,34.34433,40.85302555768481,16300.0
1966.0,che,2.044869184,,38.99357175877548,
1966.0,chl,0.025878763,44.86369000000001,47.439089620450495,2820.0
1966.0,chn,0.7102121709999999,,44.894182757059916,127.0
1966.0,civ,-0.885187387,47.58846,48.41172279026605,1160.0
1966.0,cmr,-1.185304761,,48.602114457375706,737.0
1966.0,cog,-1.308535576,,47.19357447830102,972.0
1966.0,col,0.163829684,44.18951,48.37548493068746,1610.0
1966.0,cri,0.870062947,,47.061931569700405,2090.0
1966.0,cub,-0.159368247,,46.00354618519013,
1966.0,cyp,,44.3204,45.60841825881258,
1966.0,cze,,22.61926,,
1966.0,deu,,30.9025,39.748418695290425,
1966.0,dnk,1.334210634,30.72931,39.7891250329232,21800.0
1966.0,dom,-0.680992782,45.06465,46.38599902503419,1150.0
1966.0,dza,-0.284416318,,46.8259375127347,1510.0
1966.0,ecu,-0.676978767,48.30257,47.48005894837964,1660.0
1966.0,egy,0.174304307,41.63063,48.61829335123184,400.0
1966.0,esp,0.803538144,40.81815,44.914830521487715,9400.0
1966.0,est,,,,
1966.0,eth,-0.9332335,,47.78931527961598,
1966.0,fin,1.471276045,33.18971,38.98848001306492,13000.0
1966.0,fra,1.730856895,,41.171246088530026,14400.0
1966.0,gab,,43.92908,46.56168163492629,
1966.0,gbr,1.919699907,,40.17825513642965,15400.0
1966.0,geo,,,,
1966.0,gha,-0.949187934,48.9681,50.1655264230229,453.0
1966.0,gin,-1.0535377259999998,,44.44339857713591,
1966.0,grc,0.317949086,43.39311,45.731964654330575,8100.0
1966.0,gtm,0.457040191,,47.883249088174345,1360.0
1966.0,hnd,-0.237341017,47.39471,46.32143611876585,910.0
1966.0,hrv,,,,
1966.0,hun,1.323132873,28.81189,42.10614612510263,3760.0
1966.0,idn,-1.025465131,,46.979504105684875,280.0
1966.0,irl,1.166764379,36.09009,41.563852050091356,
1966.0,irn,-0.544997811,49.73168,48.43009214043475,1500.0
1966.0,isr,0.8047118190000001,36.70855,46.52028130765523,7230.0
1966.0,ita,1.731058836,,42.012447738988534,11800.0
1966.0,jam,-0.33421865100000003,46.06081,46.69707263913056,
1966.0,jor,0.427538753,49.86862,47.20684573996753,
1966.0,jpn,1.918148041,34.97288,41.6545099090811,11400.0
1966.0,kaz,,,,
1966.0,ken,-0.425435334,51.8919,47.56006775724986,359.0
1966.0,khm,-1.047977448,,46.036598100615976,
1966.0,kor,0.897141635,43.83181,45.60910218612232,1890.0
1966.0,kwt,,,48.37979843583054,
1966.0,lao,-1.123999,,47.148363466527634,
1966.0,lbn,0.370812118,,46.15198194901343,
1966.0,lby,-1.878626347,49.76404,48.38399143146715,
1966.0,lka,-0.8997301459999999,51.90906,46.37957121552848,362.0
1966.0,ltu,,,,
1966.0,lva,,,,
1966.0,mar,-0.198753357,,47.74524934236553,766.0
1966.0,mda,,,,
1966.0,mdg,-1.004831195,,46.99782310862452,447.0
1966.0,mex,0.313366711,,46.288109505938856,4140.0
1966.0,mkd,,,,
1966.0,mmr,-0.8108504409999999,,47.85579085548936,
1966.0,mng,-0.427936167,,44.05321426155282,
1966.0,moz,-0.74001646,,47.67671725547534,
1966.0,mrt,-0.8289716840000001,,44.961647223286505,713.0
1966.0,mus,,,47.62850119684648,
1966.0,mys,-0.34538722,,46.73495994798136,1230.0
1966.0,nam,,,,
1966.0,nga,-1.207402706,43.84037,48.12370946623767,588.0
1966.0,nic,0.099710159,44.06096,47.90562252962807,1730.0
1966.0,nld,1.445876002,31.31068,41.948354069036775,16500.0
1966.0,nor,1.471453547,31.615140000000004,42.65008040441089,21500.0
1966.0,nzl,0.605474889,33.78904,41.030505055758226,
1966.0,omn,,,48.35468168965855,
1966.0,pak,-0.008154985,44.78452,48.249117641699286,284.0
1966.0,pan,0.980393827,44.04142,43.46841874851364,2440.0
1966.0,per,-0.439269394,,48.964232557564145,2460.0
1966.0,phl,-0.336311519,46.53321,46.89823402608282,773.0
1966.0,png,-0.99282527,51.36991,47.55530318891221,725.0
1966.0,pol,1.233994246,,41.31926337680972,
1966.0,prk,0.42268756,,44.432983070571936,
1966.0,prt,1.022132993,42.61055,44.04843653159417,5220.0
1966.0,pry,-0.694589853,,45.33179468554564,633.0
1966.0,qat,,,48.38399143146715,
1966.0,rus,,,,
1966.0,sau,-0.176570266,,48.38362490969502,
1966.0,sdn,-1.20225811,,48.47559361134545,456.0
1966.0,sen,-0.4631828670000001,,47.906452994187546,837.0
1966.0,sgp,0.461575866,46.3753,44.64678492440788,3070.0
1966.0,slv,0.641813517,46.84915,47.65568532604953,2080.0
1966.0,srb,,,,
1966.0,svk,,,,
1966.0,svn,,,,
1966.0,swe,2.045296192,28.54125,39.452775619700226,18800.0
1966.0,syr,-0.10337209,46.73937,48.04952631317681,603.0
1966.0,tgo,-1.385871649,,49.560826442602576,428.0
1966.0,tha,-0.785635889,,46.973116457009496,471.0
1966.0,tkm,,,,
1966.0,tto,,49.76986,46.12545325099089,
1966.0,tun,-0.17234042300000002,47.96352,46.959580128748605,985.0
1966.0,tur,-0.708389521,44.39724,47.910527485990286,2860.0
1966.0,tza,-1.032956243,52.96901999999999,48.09372256409281,
1966.0,ukr,,,,
1966.0,ury,0.541889548,,42.92663448909976,3170.0
1966.0,usa,1.69378531,34.56129,40.91601589337503,19300.0
1966.0,uzb,,,,
1966.0,ven,-0.499267161,,48.3135959728874,6540.0
1966.0,vnm,-0.015746074,,45.369701162958485,
1966.0,wld,0.70993644,,,3730.0
1966.0,yem,,,,
1966.0,zaf,-0.085690454,43.00732,45.09045396920887,4230.0
1966.0,zmb,-0.34252581,48.56677,47.32662169763774,993.0
1966.0,zwe,,46.39376,43.36779022478302,
1967.0,ago,-1.057007313,,48.28070181403292,
1967.0,alb,0.218567908,,46.5264361243194,
1967.0,are,,,44.17452523681854,
1967.0,arg,-0.01652908,,44.01201793888428,3410.0
